NeckYaw;angleAsIs;speed;NeckPitch;angleAsIs;speed;
90,0;89,91;0,04499817;-31,25;-20,42;-5,415;
90,0;89,97;0,0;-37,5;-26,62;-5,4399996;
90,0;90,02;0,0;-43,75;-32,82;-5,465;
90,0;90,02;0,0;-50,0;-39,08;-5,459999;
90,0;90,02;0,0;-43,75;-45,33;0,7900009;
90,0;90,02;0,0;-37,5;-45,07;3,7849998;
90,0;90,02;0,0;-31,25;-44,89;6,8199997;
90,0;90,02;0,0;-25,0;-37,86;6,4300003;
90,0;90,02;0,0;-18,75;-30,83;6,04;
90,0;90,02;0,0;-12,5;-23,92;5,71;
90,0;90,02;0,0;-6,25;-17,01;5,38;
90,0;90,02;0,0;0,0;-10,85;5,425;
84,375;90,02;-2,8224983;0,0;-4,69;2,345;
78,75;86,78;-4,0149994;0,0;-2,0;1,0;
73,125;83,55;-5,2125015;0,0;0,7;-0,35;
67,5;77,58;-5,040001;0,0;0,3;-0,15;
61,875;71,61;-4,8675003;0,0;-0,13;0,065;
56,25;66,04;-4,8950005;0,0;-0,06;0,03;
50,625;60,47;-4,9225006;0,0;0,05;-0,025;
45,0;54,83;-4,915001;0,0;0,03;0,0;
39,375;49,19;-4,9074993;0,0;-0,03;0,0;
33,75;43,57;-4,91;0,0;-0,03;0,0;
28,125;37,95;-4,9125004;0,0;-0,03;0,0;
22,5;32,33;-4,915001;0,0;-0,02;0,0;
16,875;26,7;-4,9125004;0,0;-0,02;0,0;
11,25;21,08;-4,915;0,0;-0,02;0,0;
5,625;15,45;-4,9125;0,0;-0,02;0,0;
0,0;9,83;-4,915;0,0;-0,02;0,0;
-5,625;4,2;-4,9125;0,0;-0,02;0,0;
-11,25;-1,42;-4,915;0,0;-0,02;0,0;
-16,875;-7,05;-4,9125;0,0;-0,02;0,0;
-22,5;-12,67;-4,915;0,0;-0,02;0,0;
-28,125;-18,3;-4,9125004;0,0;-0,02;0,0;
-33,75;-23,92;-4,915;0,0;-0,02;0,0;
-39,375;-29,55;-4,9125004;0,0;-0,02;0,0;
-45,0;-35,17;-4,915001;0,0;-0,02;0,0;
-50,625;-40,8;-4,9125004;0,0;-0,02;0,0;
-56,25;-46,42;-4,915001;0,0;-0,02;0,0;
-61,875;-52,05;-4,9125004;0,0;-0,02;0,0;
-67,5;-57,67;-4,915001;0,0;-0,02;0,0;
-73,125;-63,3;-4,9125004;0,0;-0,02;0,0;
-78,75;-68,92;-4,915001;0,0;-0,02;0,0;
-84,375;-74,55;-4,9124985;0,0;-0,02;0,0;
-90,0;-80,17;-4,915001;0,0;-0,02;0,0;
-90,0;-85,8;-2,0999985;-6,25;-0,02;-3,115;
-90,0;-88,21;-0,89500046;-12,5;-3,59;-4,455;
-90,0;-90,61;0,3050003;-18,75;-7,16;-5,795;
-90,0;-90,26;0,13000107;-25,0;-13,79;-5,605;
-90,0;-89,91;-0,04499817;-31,25;-20,42;-5,415;
-90,0;-89,96;-0,020000458;-37,5;-26,62;-5,4399996;
-90,0;-90,02;0,0;-43,75;-32,82;-5,465;
-90,0;-90,02;0,0;-50,0;-39,08;-5,459999;
-90,0;-90,02;0,0;-43,75;-45,33;0,7900009;
-90,0;-90,02;0,0;-37,5;-45,07;3,7849998;
-90,0;-90,02;0,0;-31,25;-44,89;6,8199997;
-90,0;-90,02;0,0;-25,0;-37,86;6,4300003;
-90,0;-90,02;0,0;-18,75;-30,83;6,04;
-90,0;-90,02;0,0;-12,5;-23,92;5,71;
-90,0;-90,02;0,0;-6,25;-17,01;5,38;
-90,0;-90,02;0,0;0,0;-10,85;5,425;
-87,1875;-90,02;1,4162483;0,0;-4,69;2,345;
-84,375;-88,39;2,0074997;0,0;-2,0;1,0;
-81,5625;-86,77;2,6037483;0,0;0,69;-0,345;
-78,75;-83,79;2,5200005;0,0;0,29;-0,145;
-75,9375;-80,8;2,4312515;0,0;-0,11;0,055;
-73,125;-78,02;2,4474983;0,0;-0,05;0,025;
-70,3125;-75,23;2,4587517;0,0;0,03;0,0;
-67,5;-72,42;2,459999;0,0;0,03;0,0;
-64,6875;-69,6;2,4562492;0,0;0,03;0,0;
-61,875;-66,79;2,4575005;0,0;0,02;0,0;
-59,0625;-63,97;2,4537506;0,0;0,02;0,0;
-56,25;-61,16;2,455;0,0;0,02;0,0;
-53,4375;-58,35;2,4562492;0,0;0,02;0,0;
-50,625;-55,53;2,4524994;0,0;0,02;0,0;
-47,8125;-52,72;2,4537506;0,0;0,02;0,0;
-45,0;-49,91;2,455;0,0;0,02;0,0;
-42,1875;-47,1;2,4562492;0,0;0,02;0,0;
-39,375;-44,28;2,4524994;0,0;0,02;0,0;
-36,5625;-41,47;2,4537506;0,0;0,02;0,0;
-33,75;-38,66;2,455;0,0;0,02;0,0;
-30,9375;-35,85;2,4562492;0,0;0,02;0,0;
-28,125;-33,03;2,4524994;0,0;0,02;0,0;
-25,3125;-30,22;2,4537497;0,0;0,02;0,0;
-22,5;-27,41;2,455;0,0;0,02;0,0;
-19,6875;-24,6;2,4562502;0,0;0,02;0,0;
-16,875;-21,78;2,4525003;0,0;0,02;0,0;
-14,0625;-18,97;2,4537497;0,0;0,02;0,0;
-11,25;-16,16;2,455;0,0;0,02;0,0;
-8,4375;-13,35;2,4562502;0,0;0,02;0,0;
-5,625;-10,53;2,4524999;0,0;0,02;0,0;
-2,8125;-7,72;2,45375;0,0;0,02;0,0;
0,0;-4,91;4,91;0,0;0,02;0,0;
0,0;-2,09;1,045;0,0;0,02;0,0;
0,0;-0,9;0,45;-6,25;0,02;-3,135;
0,0;0,3;-0,15;-12,5;0,02;-6,26;
0,0;0,13;-0,065;-18,75;-7,0;-5,875;
0,0;-0,04;0,0;-25,0;-14,03;-5,485;
0,0;-0,04;0,0;-31,25;-20,31;-5,4700003;
0,0;-0,04;0,0;-37,5;-26,59;-5,455;
0,0;-0,04;0,0;-43,75;-32,83;-5,459999;
0,0;-0,04;0,0;-50,0;-39,09;-5,455;
0,0;-0,04;0,0;-43,75;-45,33;0,7900009;
0,0;-0,04;0,0;-37,5;-39,09;0,7950001;
0,0;-0,04;0,0;-31,25;-38,17;3,459999;
0,0;-0,04;0,0;-25,0;-37,26;6,129999;
0,0;-0,04;0,0;-18,75;-30,25;5,75;
0,0;-0,04;0,0;-12,5;-23,23;5,365;
0,0;-0,04;0,0;-6,25;-17,09;5,42;
0,0;-0,04;0,0;0,0;-10,95;5,475;
5,625;-0,04;2,8325;0,0;-4,68;2,34;
11,25;-0,04;5,645;0,0;1,59;-0,795;
16,875;6,42;5,2275;0,0;0,68;-0,34;
22,5;12,88;4,81;0,0;-0,25;0,125;
28,125;18,39;4,8675003;0,0;-0,11;0,055;
33,75;23,9;4,925;0,0;0,07;-0,035;
39,375;29,54;4,9174995;0,0;0,04;0,0;
45,0;35,18;4,91;0,0;-0,04;0,0;
50,625;40,8;4,9125004;0,0;-0,04;0,0;
56,25;46,42;4,915001;0,0;-0,03;0,0;
61,875;52,05;4,9125004;0,0;-0,03;0,0;
67,5;57,68;4,91;0,0;-0,03;0,0;
73,125;63,3;4,9125004;0,0;-0,03;0,0;
78,75;68,92;4,915001;0,0;-0,03;0,0;
84,375;74,55;4,9124985;0,0;-0,03;0,0;
90,0;80,18;4,91;0,0;-0,03;0,0;
90,0;85,8;2,0999985;-6,25;-0,03;-3,11;
90,0;91,42;-0,7099991;-12,5;-0,03;-6,235;
90,0;90,61;-0,3050003;-18,75;-7,05;-5,85;
90,0;89,79;0,10499954;-25,0;-14,08;-5,46;
90,0;89,92;0,040000916;-31,25;-20,33;-5,46;
90,0;90,04;-0,020000458;-37,5;-26,58;-5,46;
90,0;90,01;0,0;-43,75;-32,83;-5,459999;
90,0;89,99;0,0;-50,0;-39,08;-5,459999;
90,0;89,99;0,0;-43,75;-45,33;0,7900009;
90,0;89,99;0,0;-37,5;-39,08;0,7900009;
90,0;89,99;0,0;-31,25;-38,18;3,4650002;
90,0;89,99;0,0;-25,0;-37,27;6,135;
90,0;89,99;0,0;-18,75;-30,25;5,75;
90,0;89,99;0,0;-12,5;-23,23;5,365;
90,0;89,99;0,0;-6,25;-17,09;5,42;
90,0;89,99;0,0;0,0;-10,94;5,47;
84,375;89,99;-2,807499;0,0;-4,68;2,34;
78,75;89,99;-5,619999;0,0;1,58;-0,79;
73,125;83,56;-5,217499;0,0;0,68;-0,34;
67,5;77,12;-4,8100014;0,0;-0,24;0,12;
61,875;71,61;-4,8675003;0,0;-0,11;0,055;
56,25;66,11;-4,9300003;0,0;0,07;-0,035;
50,625;60,46;-4,9174995;0,0;0,04;0,0;
45,0;54,82;-4,91;0,0;-0,05;0,025;
39,375;49,19;-4,9074993;0,0;-0,02;0,0;
33,75;43,57;-4,91;0,0;0,03;0,0;
28,125;37,95;-4,9125004;0,0;0,03;0,0;
22,5;32,32;-4,91;0,0;0,03;0,0;
16,875;26,7;-4,9125004;0,0;0,03;0,0;
11,25;21,08;-4,915;0,0;0,02;0,0;
5,625;15,45;-4,9125;0,0;0,02;0,0;
0,0;9,82;-4,91;0,0;0,02;0,0;
-5,625;4,2;-4,9125;0,0;0,02;0,0;
-11,25;-1,42;-4,915;0,0;0,02;0,0;
-16,875;-7,05;-4,9125;0,0;0,02;0,0;
-22,5;-12,68;-4,91;0,0;0,02;0,0;
-28,125;-18,3;-4,9125004;0,0;0,02;0,0;
-33,75;-23,92;-4,915;0,0;0,02;0,0;
-39,375;-29,55;-4,9125004;0,0;0,02;0,0;
-45,0;-35,18;-4,91;0,0;0,02;0,0;
-50,625;-40,8;-4,9125004;0,0;0,02;0,0;
-56,25;-46,42;-4,915001;0,0;0,02;0,0;
-61,875;-52,05;-4,9125004;0,0;0,02;0,0;
-67,5;-57,68;-4,91;0,0;0,02;0,0;
-73,125;-63,3;-4,9125004;0,0;0,02;0,0;
-78,75;-68,92;-4,915001;0,0;0,02;0,0;
-84,375;-74,55;-4,9124985;0,0;0,02;0,0;
-90,0;-80,18;-4,91;0,0;0,02;0,0;
-90,0;-85,8;-2,0999985;-6,25;0,02;-3,135;
-90,0;-91,42;0,7099991;-12,5;0,02;-6,26;
-90,0;-90,61;0,3050003;-18,75;-7,0;-5,875;
-90,0;-89,8;-0,099998474;-25,0;-14,03;-5,485;
-90,0;-89,91;-0,04499817;-31,25;-20,31;-5,4700003;
-90,0;-90,03;0,0;-37,5;-26,59;-5,455;
-90,0;-90,03;0,0;-43,75;-32,83;-5,459999;
-90,0;-90,03;0,0;-50,0;-39,08;-5,459999;
-90,0;-90,03;0,0;-43,75;-45,33;0,7900009;
